Date,Tweet ID,Text,Likes,cleaned_text
2021-01-11 23:56:02+00:00,1348780741514194948,$BP $CVX $LNG NEW ARTICLE : BP Is A Buy For Its (Liquefied) Natural Gas Portfolio https://t.co/Qbi85bXHEI Get all the latest $BP related news here : https://t.co/8QbMnkKdX2,0,bp cvx lng new article bp is buy its liquefied natural gas portfolio get all latest bp related news here
2021-01-11 23:39:51+00:00,1348776666630397953,"Running through Code Veronica for a bit then moving to something else! https://t.co/JorcEilsjx
#residentevil
#re #cvx",0,running through code veronica bit then moving something else
2021-01-11 23:31:45+00:00,1348774630434209795,@BunnyHop Just give it to me,0,just give it me
2021-01-11 23:25:03+00:00,1348772942071689223,"Notable Analyst Upgrades and Downgrades for Week of January 4, 2020 (Part 2) $ACN, $AFL, $ALB, $AVA, $CVS, $CVX, $DHI, $FDX, $HSY, $JPM, $KR, $MCD, $MMM, $MMP, $UNM, $USB, $VTR, $WFC, $WU https://t.co/f40BDr2ZOJ https://t.co/KpjkWdXUKl",0,notable analyst upgrades downgrades week january 4 2020 part 2 acn afl alb ava cvs cvx dhi fdx hsy jpm kr mcd mmm mmp unm usb vtr wfc wu
2021-01-11 22:20:32+00:00,1348756708848496641,"Large Print $CVX Size: 682947 Price: 91.6 Time: 1720 Amount: $62,557,945.20",0,large print cvx size 682947 price 91 6 time 1720 amount 62 557 945 20
2021-01-11 22:13:24+00:00,1348754911232745472,"Tomorrow’s #watchlist for #NYSE, #NASDAQ between $90 and $100: $AMAT $AMD $CSX $CVX $IJR $JD $RUN",0,tomorrow s between 90 100 amat amd csx cvx ijr jd run
2021-01-11 22:11:33+00:00,1348754446545793030,"$CVX #BMTCharts

Updated chart as of today's close:

https://t.co/Cb13gBCqTe",1,cvx updated chart as todays close
2021-01-11 21:20:51+00:00,1348741687363862529,"$CVX Piercing Line
Daily appearances since 2010: 56
Close 5 days later ±:
Avg: -0.36
SD: 3.50
Worst: -10.23
Best: 8.44

10 days later:
Avg: 0.03
SD: 5.24
Worst: -9.84
Best: 13.02

30 days later:
Avg: 0.63
SD: 8.23
Worst: -30.16
Best: 19.15",0,cvx piercing line daily appearances since 2010 56 close 5 days later avg 0 36 sd 3 50 worst 10 23 best 8 44 10 days later avg 0 03 sd 5 24 worst 9 84 best 13 02 30 days later avg 0 63 sd 8 23 worst 30 16 best 19 15
2021-01-11 21:01:04+00:00,1348736709090045954,"Mon Jan 11th
Today's BEST performing sector at the close

Energy +1.6%

follow along here: https://t.co/JA8wNWRqdc

#energy #stocktrading #equitytrading #investments #trading
$XOM $PSX $EPD $KMI $VLO $COP $PTR $CEO $EOG $CVX https://t.co/R6Lt51kwDY",0,mon jan 11th todays best performing sector at close energy 1 6 follow along here xom psx epd kmi vlo cop ptr ceo eog cvx
2021-01-11 20:48:11+00:00,1348733466607816706,@Chrisrussell911 @psixbeast @TheSphereHunter I didn’t have a ton of trouble with re0 but cvx can burn in hell,1,i didn t have ton trouble with re0 but cvx can burn hell
2021-01-12 22:21:02+00:00,1349119220995547136,"Tomorrow’s #watchlist for #NYSE, #NASDAQ between $90 and $100: $ACWI $CVX $EWY $IJR $RUN $XLI",0,tomorrow s between 90 100 acwi cvx ewy ijr run xli
