Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,107.800003,109.820000,107.800003,109.470001,102.608215,9124100
2021-05-17,109.089996,110.879997,108.970001,110.809998,103.864204,12692900
2021-05-18,108.940002,109.059998,105.970001,106.180000,100.742683,12759900
2021-05-19,103.820000,104.290001,101.970001,103.199997,97.915291,14762700
2021-05-20,103.070000,104.070000,101.970001,103.559998,98.256851,9706300
2021-05-21,104.099998,105.199997,103.680000,104.120003,98.788177,10352800
2021-05-24,104.949997,105.839996,104.000000,105.599998,100.192390,6785600
2021-05-25,105.430000,105.620003,103.610001,103.870003,98.550987,7884000
2021-05-26,104.519997,104.910004,103.660004,104.120003,98.788177,9232400
2021-05-27,104.120003,104.910004,102.570000,103.010002,97.735016,11703400
2021-05-28,103.620003,104.120003,102.949997,103.790001,98.475082,7278200
2021-06-01,105.300003,107.430000,105.300003,106.650002,101.188622,10260600
2021-06-02,107.209999,108.559998,106.209999,108.080002,102.545395,9141800
2021-06-03,107.559998,108.089996,106.559998,107.589996,102.080475,8809300
2021-06-04,108.239998,108.669998,107.209999,108.449997,102.896446,6699300
2021-06-07,108.370003,108.699997,107.570000,107.750000,102.232292,6748600
2021-06-08,107.650002,108.980003,106.300003,108.730003,103.162109,10559500
2021-06-09,109.059998,109.529999,107.650002,107.779999,102.260757,10146900
2021-06-10,109.059998,110.250000,107.250000,108.410004,102.858505,13526200
2021-06-11,108.839996,108.970001,107.860001,107.910004,102.384117,7731700
2021-06-14,108.180000,108.959999,106.830002,107.970001,102.441025,9051900
2021-06-15,108.410004,110.480003,108.389999,110.300003,104.651711,10540200
2021-06-16,110.029999,110.510002,108.900002,109.669998,104.053978,9283300
2021-06-17,109.239998,109.980003,96.309998,107.070000,101.587112,14337800
2021-06-18,105.250000,106.269997,102.910004,103.029999,97.753990,22284500
2021-06-21,104.099998,106.440002,103.930000,106.050003,100.619347,13591500
2021-06-22,105.330002,106.959999,104.309998,106.400002,100.951424,10230100
2021-06-23,107.360001,108.129997,106.230003,106.269997,100.828079,7792800
2021-06-24,107.139999,107.779999,106.360001,107.139999,101.653534,8724600
2021-06-25,107.589996,108.059998,106.779999,107.300003,101.805344,8102300
2021-06-28,106.949997,107.000000,103.660004,103.989998,98.664833,11348400
2021-06-29,104.589996,104.970001,103.610001,103.760002,98.446625,7225500
2021-06-30,103.839996,104.879997,103.720001,104.739998,99.376427,7927500
2021-07-01,106.949997,107.099998,105.739998,106.209999,100.771149,10873200
2021-07-02,105.699997,106.400002,105.040001,106.070000,100.638321,7107700
2021-07-06,105.970001,105.970001,103.389999,103.989998,98.664833,10162800
2021-07-07,103.959999,104.900002,102.120003,102.930000,97.659119,8245000
2021-07-08,101.500000,103.089996,101.220001,102.599998,97.346016,8695500
2021-07-09,103.459999,104.230003,102.360001,104.070000,98.740738,8567900
2021-07-12,103.559998,105.019997,103.239998,104.279999,98.939980,9898600
2021-07-13,104.000000,104.580002,103.220001,103.930000,98.607910,6738000
2021-07-14,104.480003,105.320000,101.720001,101.970001,96.748283,9216600
2021-07-15,101.050003,102.250000,100.849998,101.300003,96.112595,9665700
2021-07-16,101.629997,101.690002,98.330002,98.620003,93.569832,12199100
2021-07-19,95.820000,96.949997,94.519997,95.959999,91.046036,17385500
2021-07-20,95.889999,98.040001,95.050003,96.529999,91.586853,12114600
2021-07-21,97.980003,100.470001,97.699997,99.820000,94.708382,11478100
2021-07-22,99.400002,99.410004,97.889999,98.820000,93.759590,7694300
2021-07-23,98.800003,99.120003,97.940002,98.860001,93.797539,7570800
2021-07-26,99.459999,101.260002,99.440002,100.949997,95.780510,10227500
2021-07-27,100.050003,100.720001,98.940002,100.610001,95.457916,8332100
2021-07-28,100.900002,101.809998,100.279999,101.180000,95.998741,8546100
2021-07-29,102.379997,102.879997,101.940002,102.570000,97.317543,8681300
2021-07-30,103.059998,104.050003,100.769997,101.809998,96.596466,12295300
2021-08-02,102.080002,103.980003,101.559998,101.629997,96.425690,8911800
2021-08-03,101.589996,102.910004,100.669998,102.599998,97.346016,8437300
2021-08-04,100.440002,101.900002,100.099998,100.300003,95.163795,10389800
2021-08-05,100.940002,102.430000,100.669998,101.230003,96.046181,7986100
2021-08-06,102.019997,102.580002,101.599998,101.949997,96.729301,6475600
2021-08-09,100.910004,101.379997,99.930000,100.250000,95.116356,9243100
2021-08-10,100.739998,102.320000,100.580002,102.080002,96.852646,9762600
2021-08-11,102.040001,102.970001,101.599998,102.849998,97.583214,7079800
2021-08-12,102.860001,103.250000,101.779999,102.639999,97.383980,7377600
2021-08-13,102.230003,102.540001,101.639999,101.959999,96.738785,6572600
2021-08-16,100.830002,101.199997,99.910004,100.919998,95.752052,9476600
